location_id,name,latitude,longitude,num_reviews,rating,neighborhoods,address_obj,address
15852600,Mashrabia Gallery of Contemporary Art,30.047499,31.23548,0,,qasr el nile,"{'street1': '8th Building,Champollion Street', 'street2': 'In Front of QNB bank - Downtown', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","8th Building,Champollion Street In Front of QNB bank - Downtown, Cairo 11511 Egypt"
12705929,Mall of Egypt,29.971478,31.01854,89,4.5,6th of october,"{'street1': None, 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': None}",Cairo Egypt
7370603,Nomad Gallery Egypt,29.98023,31.24149,26,5,dar as-salam,"{'street1': '14 Saray Elgezira St , 1st Floor ( Next to Tunisian Embassy)', 'street2': 'Right next to Tunisian Embassy , opposite squash court of Gezira Club, Zamalek', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","14 Saray Elgezira St , 1st Floor ( Next to Tunisian Embassy) Right next to Tunisian Embassy , opposite squash court of Gezira Club, Zamalek, Cairo 11511 Egypt"
14210113,Travel Village,30.0593,31.35796,24,5,Madinat Nasr 1 ,"{'street1': 'Shubra', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '00000'}","Shubra, Cairo 00000 Egypt"
16880289,Upper Sky Tours (Egypt),30.04881,31.2432,43,5,abdin,"{'street1': 'Gawad hosny', 'street2': '16 Gawad Hosny Street 5 Floor', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","Gawad hosny 16 Gawad Hosny Street 5 Floor, Cairo 11511 Egypt"
12906975,Fair Trade Egypt,30.06047,31.22321,17,5,Zamalek,"{'street1': '27 Yehia Ibrahim, Mohammed Mazhar', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","27 Yehia Ibrahim, Mohammed Mazhar, Cairo 11511 Egypt"
19745704,Mamluk Jewellery and Bazaar,30.014801,31.242128,2,5,Misr al qadima,"{'street1': None, 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': None}",Cairo Egypt
20308878,VG Tours,30.03697,31.25181,1,5,al khalifah,"{'street1': '1 Seket El fadel', 'street2': None, 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","1 Seket El fadel, Cairo 11511 Egypt"
19860680,Nefertari,0,0,1,5,el dooki,"{'street1': '53 Mossadak Street', 'street2': 'Kambez Street, Ad Doqi', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","53 Mossadak Street Kambez Street, Ad Doqi, Cairo 11511 Egypt"
15247485,Hassan El Sisy,30.1463,31.2468,15,5,qasr el nile,"{'street1': '33 A Ramses Street', 'street2': '7th Floor', 'city': 'Cairo', 'state': None, 'country': 'Egypt', 'postalcode': '11511'}","33 A Ramses Street 7th Floor, Cairo 11511 Egypt"
